observation_id,provider,source_type,incident_date,incident_title,source_url,source_path_family,public_record_locator
OBS-001,AWS,PES,2023-06-13,AWS Lambda Service Event in Northern Virginia (US-EAST-1) Region,https://aws.amazon.com/message/061323/,message,2023-06-13 | AWS Lambda PES | AWS Lambda Service Event in Northern Virginia (US-EAST-1) Region
OBS-002,AWS,PES,2024-07-30,Amazon Kinesis Data Streams Service Event in Northern Virginia (US-EAST-1) Region,https://aws.amazon.com/message/073024/,message,2024-07-30 | AWS Kinesis PES | Amazon Kinesis Data Streams Service Event in Northern Virginia (US-EAST-1) Region
OBS-003,AWS,PES,2025-10-19,Amazon DynamoDB Service Disruption in Northern Virginia (US-EAST-1) Region,https://aws.amazon.com/message/101925/,message,2025-10-19 | AWS DynamoDB PES | Amazon DynamoDB Service Disruption in Northern Virginia (US-EAST-1) Region
OBS-004,Azure,PIR,2025-03-18,Network Connectivity – Availability issues in East US,https://azure.status.microsoft/status/history/?trackingId=Z_SZ-NV8,status,2025-03-18 | Azure PIR | Network Connectivity – Availability issues in East US
OBS-005,Azure,PIR,2025-10-09,Azure Front Door – Access issues in multiple regions,https://azure.status.microsoft/status/history/?trackingId=QNBQ-5W8,status,2025-10-09 | Azure PIR | Azure Front Door – Access issues in multiple regions
OBS-006,Azure,PIR,2025-10-09,Azure Portal and other management portals – Access issues in multiple regions,https://azure.status.microsoft/status/history/?trackingId=QKNQ-PB8,status,2025-10-09 | Azure PIR | Azure Portal and other management portals – Access issues in multiple regions
OBS-007,Azure,PIR,2025-10-29,Azure Front Door – Connectivity issues across multiple regions,https://azure.status.microsoft/en-us/status/history/?trackingId=YKYN-BWZ,en-us,2025-10-29 | Azure PIR | Azure Front Door – Connectivity issues across multiple regions
OBS-008,Azure,PIR,2025-11-05,Thermal event impacting multiple services in AZ01 – West Europe,https://azure.status.microsoft/status/history/?trackingId=2LGD-9VG,status,2025-11-05 | Azure PIR | Thermal event impacting multiple services in AZ01 – West Europe
OBS-009,Azure,PIR,2025-12-08,Azure Resource Manager – Service management failures affecting Azure Government,https://azure.status.microsoft/status/history/?trackingId=ML7_-DWG,status,2025-12-08 | Azure PIR | Azure Resource Manager – Service management failures affecting Azure Government
OBS-010,Azure,PIR,2026-02-02,"Virtual Machines, Managed identities, and dependent services – Service management issues in multiple regions",https://azure.status.microsoft/en-us/status/history/?trackingId=FNJ8-VQZ,en-us,"2026-02-02 | Azure PIR | Virtual Machines, Managed identities, and dependent services – Service management issues in multiple regions"
OBS-011,Azure,PIR,2026-02-07,Power event impacting multiple services – West US,https://azure.status.microsoft/en-us/status/history/?trackingId=_SVS-5_G,en-us,2026-02-07 | Azure PIR | Power event impacting multiple services – West US
OBS-012,Azure,PIR,2026-03-09,Azure OpenAI – GPT-5.2 availability degradation in 7 regions,https://azure.status.microsoft/en-us/status/history/?trackingId=8GCS-858,en-us,2026-03-09 | Azure PIR | Azure OpenAI – GPT-5.2 availability degradation in 7 regions
OBS-013,GCP,Product history page entry,2025-07-18,We are investigating elevated error rates with multiple products in us-east1,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2025-07-18 | Google Compute Engine history | We are investigating elevated error rates with multiple products in us-east1
OBS-014,GCP,Product history page entry,2025-06-12,Multiple GCP products are experiencing Service issues.,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2025-06-12 | Google Compute Engine history | Multiple GCP products are experiencing Service issues.
OBS-015,GCP,Product history page entry,2025-05-19,Google Compute Engine (GCE) issue impacting multiple dependent GCP services across zones,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2025-05-19 | Google Compute Engine history | Google Compute Engine (GCE) issue impacting multiple dependent GCP services across zones
OBS-016,GCP,Product history page entry,2025-03-29,Customers are experiencing connectivity issues with multiple Google Cloud services in zone us-east5-c,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2025-03-29 | Google Compute Engine history | Customers are experiencing connectivity issues with multiple Google Cloud services in zone us-east5-c
OBS-017,GCP,Product history page entry,2024-10-23,Multiple GCP services impacted in the europe-west3-c zone,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2024-10-23 | Google Compute Engine history | Multiple GCP services impacted in the europe-west3-c zone
OBS-018,GCP,Product history page entry,2024-09-07,Google Compute Engine (GCE) VM instance creation/deletion and related operations failing in asia-northeast1,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2024-09-07 | Google Compute Engine history | Google Compute Engine (GCE) VM instance creation/deletion and related operations failing in asia-northeast1
OBS-019,GCP,Product history page entry,2024-07-26,Persistent Disk is experiencing issues with disk delete and update operations globally,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2024-07-26 | Google Compute Engine history | Persistent Disk is experiencing issues with disk delete and update operations globally
OBS-020,GCP,Product history page entry,2024-07-18,Windows VMs using CrowdStrike are crashing.,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2024-07-18 | Google Compute Engine history | Windows VMs using CrowdStrike are crashing.
OBS-021,GCP,Product history page entry,2024-05-16,Multiple cloud products are experiencing network connectivity issues. New instances of several cloud products will come up without a network in many regions.,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,products,2024-05-16 | Google Compute Engine history | Multiple cloud products are experiencing network connectivity issues. New instances of several cloud products will come up without a network in many regions.
